,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Geobacter sp. DSM 9736,1,0,0,1,1,2,0,2,1,0,0
Geobacter sp. FeAm09,1,2,0,3,3,4,0,3,4,1,0
Geobacter pickeringii,21,16,2,10,14,15,2,7,21,2,4
Geobacter benzoatilyticus,2,3,0,1,2,1,1,0,1,0,1
Geobacter metallireducens,0,0,0,0,0,0,0,0,0,0,0
Geobacter sulfurreducens,1,1,0,3,0,1,0,1,4,0,1
Geotalea uraniireducens,4,7,0,4,1,4,1,0,5,2,2
Geotalea daltonii,0,0,0,0,0,0,0,0,0,0,0
Trichlorobacter lovleyi,4,6,4,7,10,8,2,4,8,2,1
Trichlorobacter ammonificans,1,0,1,0,1,0,1,0,3,0,0
Geomonas subterranea,1,0,0,0,0,1,0,0,0,0,0
Syntrophotalea acetylenivorans,4,0,0,4,1,0,1,0,1,0,0
Syntrophotalea carbinolica,0,0,0,0,0,0,0,0,0,0,0
Desulfuromonas sp. AOP6,2,1,1,0,1,0,0,0,1,0,0
Desulfuromonas sp. DDH964,1,0,0,1,1,0,0,0,2,0,2
Desulfobacca acetoxidans,0,0,0,0,0,0,0,0,0,0,0
Syntrophus aciditrophicus,0,0,0,0,0,0,0,0,0,0,0
Desulfatibacillum aliphaticivorans,3,1,2,4,0,5,1,2,6,2,2
Desulfosarcina sp. BuS5,1,0,0,1,1,1,1,0,1,0,0
Desulfobulbus oligotrophicus,1,2,0,0,0,1,1,0,2,0,1
Desulfurivibrio alkaliphilus,0,0,0,0,0,0,0,0,0,0,0
Desulfocapsa sulfexigens,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio piger,1,0,0,0,0,1,0,0,0,0,0
Paradesulfovibrio bizertensis,1,0,0,0,0,0,0,0,0,0,0
Desulfoglaeba alkanexedens,0,0,0,0,0,0,0,0,0,0,0
Candidatus Desulfofervidus auxilii,1,1,0,0,0,0,0,1,0,0,0
Desulfomonile tiedjei,0,0,0,0,0,0,0,0,0,0,0
Nitrospira sp. KM1,37,37,20,29,51,37,10,14,66,13,11
Nitrospira tepida,12,9,5,14,19,11,2,8,18,6,5
Candidatus Nitrospira inopinata,6,4,1,3,5,6,2,2,9,1,0
Nitrospira japonica,4,1,2,4,2,3,0,2,3,0,1
Nitrospira moscoviensis,3,3,1,0,2,2,0,1,5,0,1
Dissulfurispira thermophila,5,2,3,2,6,3,1,2,8,0,1
Treponema vincentii,1,1,0,0,1,0,0,0,0,1,0
Treponema denticola,1,1,0,2,1,0,0,0,1,1,0
Candidatus Babela massiliensis,1,4,3,2,3,6,0,2,9,3,2
Candidatus Chromulinivorax destructor,1,4,2,2,5,6,1,2,2,2,6
Candidatus Absconditicoccus praedator,1,0,0,0,0,0,0,0,0,0,0
Bacteriovorax stolpii,1,0,0,0,0,1,0,1,2,0,0
Halobacteriovorax sp. BALOs_7,1,0,0,0,1,0,0,0,0,0,0
Aminomonas paucivorans,0,0,0,0,0,0,0,0,0,0,0
Bacillus luti,0,1,0,1,0,1,3,0,0,1,0
Bacillus inaquosorum,0,3,0,0,1,1,0,3,1,0,1
Bacillus sp. FJAT-22090,0,2,0,0,0,0,0,1,0,0,0
Bacillus sp. FJAT-14266,0,1,0,0,0,0,0,0,0,0,0
Bacillus sp. 7D3,0,1,0,0,0,1,0,0,0,0,0
Bacillus sp. Cs-700,0,1,0,0,0,0,0,0,1,1,1
Bacillus zhangzhouensis,0,1,0,0,1,0,0,2,3,0,0
Neobacillus sp. PS3-34,0,1,0,0,2,1,0,1,0,0,0
Lysinibacillus sp. GJ-1,0,2,0,0,2,1,1,0,2,0,1
Lysinibacillus fusiformis,0,2,0,0,1,0,0,0,1,1,0
Heyndrickxia vini,0,1,1,0,3,1,0,4,4,1,4
Cytobacillus spongiae,0,1,0,0,0,0,0,1,0,0,0
Geobacillus thermocatenulatus,0,1,0,0,0,0,0,1,1,0,0
Geobacillus thermoleovorans,0,1,1,0,0,0,0,0,0,1,0
Geobacillus sp. JS12,0,1,0,0,0,0,0,0,0,0,0
Anoxybacillus flavithermus,0,0,0,0,0,0,0,0,0,0,0
Anoxybacillus gonensis,0,1,0,0,0,0,0,0,1,0,0
Metabacillus sp. cB07,0,3,0,0,1,1,0,1,2,1,2
Metabacillus sp. KUDC1714,0,1,0,0,0,0,0,0,1,0,0
Rossellomorea marisflavi,0,1,0,0,1,1,0,0,0,0,0
Rossellomorea sp. KS-H15a,0,1,0,0,0,0,0,0,0,0,0
Virgibacillus sp. SK37,0,1,0,0,0,0,0,0,0,0,0
Oceanobacillus zhaokaii,0,2,0,0,0,0,0,0,2,0,1
Sutcliffiella horikoshii,0,2,0,0,0,0,0,0,0,0,0
Halobacillus sp. SSBR10-3,0,1,0,0,0,0,0,0,0,0,0
Mangrovibacillus cuniculi,0,1,0,1,2,0,1,1,4,0,1
Pseudalkalibacillus hwajinpoensis,0,1,0,1,0,1,0,0,2,2,2
Anaerobacillus isosaccharinicus,0,1,0,0,0,0,0,0,0,0,0
Paenibacillus sp. YPD9-1,0,3,1,1,2,1,2,1,0,0,0
Paenibacillus sp. DR312,0,1,0,0,0,0,0,0,0,0,1
Paenibacillus sp. JZ16,0,1,0,0,0,0,0,0,0,0,0
Paenibacillus lentus,0,2,1,1,0,0,0,1,1,0,1
Paenibacillus naphthalenovorans,0,2,2,1,0,1,1,1,2,0,0
Paenibacillus protaetiae,0,1,0,0,0,0,0,0,1,0,0
Paenibacillus guangzhouensis,0,1,0,0,0,0,0,0,2,1,0
Cohnella abietis,0,3,0,1,0,0,1,0,5,1,3
Brevibacillus agri,0,1,0,0,0,0,0,0,1,0,0
Sporosarcina pasteurii,0,1,0,1,1,0,0,0,0,0,0
Sporosarcina ureae,0,1,0,0,0,0,1,0,0,0,1
Sporosarcina ureilytica,0,1,1,0,1,0,0,0,0,1,0
Planococcus sp. 107-1,0,1,0,1,0,1,0,0,0,1,0
Planococcus halocryophilus,0,1,1,0,0,1,0,0,0,0,0
Kurthia sp. 11kri321,0,1,0,0,0,0,0,0,0,0,0
Ureibacillus thermosphaericus,0,1,1,0,0,1,2,1,0,0,0
Paenisporosarcina antarctica,0,1,0,0,0,0,0,1,1,0,1
Staphylococcus hominis,0,2,0,1,2,0,1,0,2,0,0
Staphylococcus argenteus,0,1,0,0,0,0,0,1,0,0,0
Staphylococcus simulans,0,1,0,0,0,0,0,0,1,0,2
Staphylococcus pasteuri,0,1,0,0,0,0,0,0,0,0,0
Macrococcus caseolyticus,0,1,1,0,1,0,0,0,0,0,0
Macrococcus sp. IME1552,0,1,1,0,0,0,0,0,2,0,0
Kyrpidia spormannii,0,2,0,1,1,1,0,0,0,0,0
Alicyclobacillus acidocaldarius,0,0,0,0,0,0,0,0,0,0,0
Exiguobacterium alkaliphilum,0,1,1,0,0,0,0,0,1,0,0
Lactobacillus sp. JM1,0,1,0,0,0,0,0,0,0,0,1
Lactobacillus sp. IBH004,0,1,1,0,0,0,0,0,0,0,0
Lacticaseibacillus sp. KACC 23028,0,1,1,0,1,1,0,0,0,0,0
Ligilactobacillus ruminis,0,1,0,0,0,0,0,0,0,0,0
Acetilactobacillus jinshanensis,0,1,1,0,2,1,0,1,1,0,0
Streptococcus dysgalactiae,0,0,0,0,0,0,0,0,0,0,0
Streptococcus infantis,0,2,1,0,1,0,0,1,2,0,1
Streptococcus agalactiae,0,0,0,0,0,2,0,0,0,1,0
Enterococcus faecium,0,3,0,0,1,4,2,0,4,1,0
Enterococcus dispar,0,1,0,0,0,0,0,0,0,0,0
Vagococcus xieshaowenii,0,1,0,0,0,0,0,0,0,0,0
Aerococcus urinae,0,1,0,0,0,1,1,0,0,1,0
Jeotgalibaca porci,0,1,0,0,0,0,0,0,0,0,0
Clostridium sp. JN-9,0,2,1,0,4,25,14,21,6,6,11
Clostridium sp. BNL1100,0,1,0,0,0,0,0,1,0,0,0
Clostridium sp. 16K-1-R1,0,1,0,0,0,4,5,0,0,1,2
Clostridium gasigenes,0,2,0,0,0,6,3,4,2,0,0
Clostridium cadaveris,0,2,0,0,2,2,2,3,1,1,1
Clostridium baratii,0,1,0,0,2,16,9,11,1,3,3
Clostridium felsineum,0,1,0,0,1,4,4,4,0,1,5
Clostridium tyrobutyricum,0,1,0,0,0,0,0,3,0,0,0
Caloramator sp. E03,0,1,0,0,0,0,0,0,0,1,0
Oceanirhabdus sp. W0125-5,0,3,0,1,1,0,0,1,2,0,0
Proteiniclasticum sp. QWL-01,0,2,0,0,1,2,1,1,1,0,1
Serpentinicella alkaliphila,0,1,1,0,0,0,0,0,0,0,0
Paeniclostridium sordellii,0,3,0,0,1,0,1,0,3,0,0
Filifactor alocis,0,0,0,0,0,0,0,0,0,0,0
Acetoanaerobium sticklandii,0,1,0,0,0,0,0,0,0,0,1
Acetivibrio saccincola,0,2,0,1,1,1,0,0,0,0,0
Ruminococcus gauvreauii,0,1,0,0,0,0,0,1,1,0,0
Ruminococcus bovis,0,1,0,0,1,1,0,0,0,1,0
Lawsonibacter asaccharolyticus,0,1,0,0,0,0,0,0,0,0,0
Anaerotruncus colihominis,0,1,0,0,0,0,0,0,0,0,0
Desulfitobacterium metallireducens,0,0,0,0,0,0,0,0,0,0,0
Anaerocolumna chitinilytica,0,1,0,0,3,0,1,1,0,0,3
Roseburia hominis,0,1,0,0,0,2,0,0,0,0,0
Anaerotignum sp. MB30-C6,0,1,0,0,0,0,0,0,0,1,0
Anaerostipes hadrus,0,1,0,0,0,1,0,0,0,0,1
Candidatus Formimonas warabiya,0,1,0,0,1,0,0,0,0,0,0
Proteiniborus sp. MB09-C3,0,1,0,0,0,0,0,0,0,0,0
Symbiobacterium thermophilum,0,0,0,0,0,0,0,0,0,0,0
Alkalibacter rhizosphaerae,0,1,0,0,0,0,0,0,0,0,0
Aristaeella lactis,0,1,0,0,0,0,0,0,0,0,0
Thermincola potens,0,0,0,0,0,0,0,0,0,0,0
Carboxydothermus hydrogenoformans,0,0,0,0,0,0,0,0,0,0,0
Biomaibacter acetigenes,0,1,0,0,0,0,0,1,0,0,0
Thermanaeromonas toyohensis,0,0,0,0,0,0,0,0,0,0,0
Selenomonas sp. oral taxon 920,0,1,0,1,0,0,0,0,0,0,0
Megasphaera stantonii,0,1,2,0,0,0,0,1,1,0,0
Erysipelothrix rhusiopathiae,0,3,0,0,1,1,0,0,0,0,0
Allobaculum mucilyticum,0,1,0,0,1,1,0,1,1,0,0
Turicibacter sanguinis,0,1,0,0,0,0,0,0,0,0,0
Peptoniphilus ivorii,0,1,1,0,0,0,0,0,0,0,0
Arthrobacter sunyaminii,0,1,0,0,0,0,0,0,0,0,0
Psychromicrobium lacuslunae,0,1,0,0,0,0,0,0,0,0,0
Auritidibacter ignavus,0,1,0,0,0,0,0,0,0,0,0
Microbacterium sp. str. 'China',0,2,0,0,2,0,0,0,1,0,0
Clavibacter michiganensis,0,0,0,0,0,0,0,0,0,0,0
Streptomyces sp. Z423-1,0,3,0,0,2,1,0,0,1,1,0
Streptomyces sp. WY228,0,1,0,0,0,1,1,1,4,0,0
Streptomyces sp. CB09030,0,1,0,0,0,1,0,0,0,0,0
Streptomyces albus,0,1,0,0,0,0,0,0,0,1,1
Streptomyces laculatispora,0,1,0,0,0,0,0,1,0,0,3
Streptomyces liliifuscus,0,1,0,0,0,0,0,0,0,0,0
Streptomyces vietnamensis,0,1,0,0,0,0,0,0,0,0,0
Mycolicibacterium mucogenicum,0,0,0,0,0,0,0,0,0,0,0
Mycolicibacterium mageritense,0,1,0,0,0,0,0,0,1,0,0
Mycobacterium branderi,0,1,0,0,1,0,0,0,0,0,0
Rhodococcus opacus,0,1,1,0,0,0,0,0,0,0,0
Corynebacterium xerosis,0,1,0,0,0,0,0,0,0,0,0
Corynebacterium matruchotii,0,1,0,0,0,0,0,1,0,0,0
Gordonia sp. Swx-4,0,1,0,0,0,0,0,0,0,0,0
Micromonospora ferruginea,0,1,0,0,0,0,0,0,0,0,0
Couchioplanes caeruleus,0,1,0,0,0,0,0,0,0,0,0
Microlunatus phosphovorus,0,0,0,0,0,0,0,0,0,0,0
Actinomyces lilanjuaniae,0,1,0,0,0,0,0,0,0,0,0
Actinopolyspora erythraea,0,1,0,1,0,0,0,0,0,0,0
Thermoleophilum album,0,9,0,3,5,1,0,4,5,0,2
Aquihabitans sp. G128,0,2,0,0,0,0,0,0,2,0,0
Dermatobacter hominis,0,1,0,1,0,0,1,0,0,0,0
Acidimicrobium ferrooxidans,0,0,0,0,0,0,0,0,0,0,0
Thermophilibacter immobilis,0,1,0,0,0,0,0,0,0,0,0
Egibacter rhizosphaerae,0,1,0,0,0,0,0,2,0,0,3
Nostoc edaphicum,0,0,0,0,0,0,0,0,0,0,0
Nostoc sp. TCL240-02,0,1,0,0,0,0,0,0,0,0,0
Chondrocystis sp. NIES-4102,0,1,0,0,0,0,0,0,0,0,0
Tepidiforma flava,0,2,2,2,1,0,0,2,2,0,0
Tepidiforma bonchosmolovskayae,0,1,0,1,0,0,0,0,0,0,1
Chloroflexus aurantiacus,0,0,0,0,0,0,0,0,0,0,0
Phototrophicus methaneseepsis,0,1,2,1,1,1,0,0,1,0,2
Fimbriimonas ginsengisoli,0,0,0,0,0,0,0,0,0,0,0
Mycoplasma seminis,0,1,0,0,0,0,0,0,0,0,0
Spiroplasma endosymbiont of 'Nebria riversi',0,1,0,0,0,0,0,0,0,0,0
Bradyrhizobium sp. CB82,0,2,0,1,2,0,0,0,0,0,2
Bradyrhizobium sp. WBAH33,0,1,1,3,7,0,1,2,6,0,2
Afipia carboxidovorans,0,0,0,0,0,0,0,0,0,0,0
Methyloceanibacter sp. wino2,0,1,0,0,0,0,0,0,0,0,0
Rhizobium tumorigenes,0,1,0,1,0,1,0,0,0,0,0
Agrobacterium salinitolerans,0,1,0,0,0,1,0,0,0,0,0
Sinorhizobium medicae,0,1,0,0,0,0,0,0,0,0,0
Georhizobium profundi,0,1,0,0,0,0,0,0,0,0,0
Methylocella silvestris,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium aquaticum,0,1,0,0,1,1,1,0,1,1,0
Methylorubrum populi,0,0,0,0,0,0,0,0,0,0,0
Devosia ginsengisoli,0,1,0,0,0,0,0,0,0,0,0
Breoghania sp. L-A4,0,4,3,1,0,0,2,0,0,0,0
Brucella abortus,0,0,1,0,0,1,0,0,3,2,0
Candidatus Phaeomarinobacter ectocarpi,0,1,0,0,0,0,0,0,1,0,0
Phreatobacter cathodiphilus,0,1,0,0,0,0,0,0,0,0,0
Komagataeibacter xylinus,0,1,0,0,0,0,0,0,0,0,0
Rhodospirillum centenum,0,0,0,0,0,0,0,0,0,0,0
Elioraea tepida,0,2,0,1,0,0,0,1,1,0,0
Nisaea acidiphila,0,2,1,0,2,0,0,0,2,0,0
Paracoccus albus,0,2,2,1,1,3,1,2,0,1,1
Paracoccus jeotgali,0,2,1,0,1,1,0,0,1,0,0
Paracoccus sp. TOH,0,1,0,0,1,0,0,0,0,0,0
Actibacterium sp. EMB200-NS6,0,1,0,0,0,0,0,0,0,0,0
Ponticoccus alexandrii,0,1,0,2,2,0,0,1,0,0,1
Novosphingobium ginsenosidimutans,0,1,0,0,1,0,0,0,0,0,1
Sphingomicrobium aestuariivivum,0,1,0,0,0,0,0,0,0,0,0
Wolbachia endosymbiont (group A) of Merzomyia westermanni,0,3,0,0,0,1,0,0,1,0,0
Candidatus Cytomitobacter indipagum,0,2,0,0,0,0,0,0,1,0,0
Candidatus Nucleicultrix amoebiphila,0,0,0,0,0,0,0,0,0,0,0
Caulobacter sp. S6,0,1,0,1,1,1,0,0,0,0,0
Kordiimonas sp. SCSIO 12610,0,1,1,2,0,0,0,1,2,0,0
Burkholderia oklahomensis,0,1,1,0,0,0,0,0,1,1,1
Burkholderia multivorans,0,3,2,0,5,1,0,4,10,0,1
Burkholderia cepacia,0,1,0,0,0,0,0,0,1,0,0
Burkholderia glumae,0,1,0,0,1,0,0,1,0,0,0
Burkholderia gladioli,0,0,0,0,1,0,0,0,1,1,0
Cupriavidus nantongensis,0,1,0,0,0,0,0,0,0,1,0
Paraburkholderia phenoliruptrix,0,0,0,0,0,0,0,0,0,0,0
Paraburkholderia sprentiae,0,0,0,0,0,0,0,0,0,0,0
Ralstonia sp. RS642,0,2,1,0,3,4,1,1,8,0,3
Ralstonia solanacearum,0,1,0,0,0,0,0,0,0,0,0
Pandoraea thiooxydans,0,4,0,1,1,1,0,3,8,0,1
Pandoraea norimbergensis,0,1,0,0,0,0,0,0,0,0,0
Caballeronia sp. TF1N1,0,1,0,0,1,1,0,1,1,0,1
Comamonas terrigena,0,0,0,0,0,0,0,0,0,0,0
Ottowia sp. oral taxon 894,0,1,0,0,0,0,0,0,1,0,1
Delftia tsuruhatensis,0,1,0,0,0,1,0,0,0,0,0
Hydrogenophaga pseudoflava,0,1,0,0,1,1,0,1,0,0,0
Massilia sp. Se16.2.3,0,1,1,1,3,1,2,1,7,1,2
Massilia sp. erpn,0,1,0,0,0,0,0,0,0,0,0
Massilia oculi,0,1,0,0,0,0,0,0,0,0,0
Duganella dendranthematis,0,3,1,0,5,4,2,6,11,2,4
Janthinobacterium lividum,0,2,0,1,0,1,0,0,3,0,1
Herbaspirillum seropedicae,0,1,0,1,0,0,0,0,0,1,0
Undibacterium parvum,0,1,0,0,2,1,0,1,0,0,0
Achromobacter xylosoxidans,0,0,0,0,0,0,0,0,0,0,0
Bordetella petrii,0,1,0,0,0,0,0,0,0,0,0
Pusillimonas sp. DMV24BSW_D,0,1,0,1,1,0,0,0,3,0,0
Candidatus Ichthyocystis hellenicum,0,2,1,0,1,0,0,2,1,0,0
Aquabacterium olei,0,1,0,0,0,0,0,0,0,0,0
Rhizobacter sp. AJA081-3,0,1,0,0,1,1,0,0,1,0,0
Eleftheria terrae,0,1,0,0,0,0,0,0,0,0,0
Sphaerotilus sp. FB-5,0,2,0,0,2,1,2,2,3,0,1
Rubrivivax gelatinosus,0,0,0,0,0,0,0,0,0,0,0
Sutterella faecalis,0,1,0,0,0,0,0,1,1,0,0
Sulfuricystis multivorans,0,6,0,0,0,1,0,1,4,1,0
Sulfuricystis thermophila,0,1,0,0,1,0,0,0,3,0,0
Sterolibacterium denitrificans,0,2,0,0,0,0,0,0,0,0,0
Denitratisoma sp. DHT3,0,1,0,0,0,0,0,0,0,1,0
Sulfuriferula plumbiphila,0,3,1,0,0,1,1,0,1,1,1
Sulfuricella denitrificans,0,0,0,0,0,0,0,0,0,0,0
Vitreoscilla filiformis,0,1,0,0,1,1,0,0,1,0,1
Vitreoscilla massiliensis,0,1,0,0,0,0,0,0,0,0,0
Kingella potus,0,1,0,0,0,0,0,0,0,0,0
Jeongeupia sp. USM3,0,2,0,0,0,0,0,1,0,1,0
Candidatus Nasuia deltocephalinicola,0,2,0,2,0,0,0,0,0,1,1
Casimicrobium huifangae,0,1,0,0,2,1,0,0,1,0,0
Escherichia fergusonii,0,1,0,0,0,0,0,0,1,0,0
Enterobacter bugandensis,0,1,0,0,0,0,0,0,1,0,1
Citrobacter werkmanii,0,1,0,0,1,0,0,0,1,0,0
Providencia stuartii,0,1,0,0,0,0,0,0,0,0,0
Yersinia enterocolitica,0,2,0,0,0,0,0,1,1,0,0
Dickeya zeae,0,1,0,0,0,1,0,0,0,1,0
Wigglesworthia glossinidia,0,0,0,0,0,0,0,0,0,0,0
Lysobacter alkalisoli,0,1,0,0,0,0,0,0,0,0,0
Xanthomonas oryzae,0,2,0,2,0,1,1,0,4,0,0
Xanthomonas sacchari,0,1,0,0,0,0,0,0,0,1,0
Arenimonas daejeonensis,0,1,0,0,0,1,0,1,1,0,0
Nitrosococcus wardiae,0,1,0,0,0,0,0,0,0,0,0
Candidatus Thiodictyon syntrophicum,0,1,0,0,0,0,0,0,0,1,0
Acidihalobacter ferrooxydans,0,3,1,0,1,1,0,2,1,0,1
Aquicella siphonis,0,5,1,0,5,5,0,2,8,0,1
Aquicella lusitana,0,1,0,2,0,0,0,2,3,0,0
Coxiella burnetii,0,2,0,1,0,1,0,0,2,0,1
Coxiella endosymbiont of Amblyomma sculptum,0,1,1,0,1,0,0,0,4,0,0
Legionella fallonii,0,0,0,0,0,0,0,0,0,0,0
Legionella geestiana,0,1,1,0,0,0,0,0,0,0,0
Sulfurifustis variabilis,0,1,0,1,0,0,0,0,0,1,0
Acinetobacter venetianus,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter colistiniresistens,0,1,0,0,0,0,0,0,0,0,0
Pseudomonas sp. FP821,0,1,0,0,0,0,1,1,1,0,0
Pseudomonas syringae group genomosp. 7,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas veronii,0,1,0,0,1,0,0,1,0,0,2
Vibrio parahaemolyticus,0,1,0,0,2,0,0,0,0,0,1
Photobacterium profundum,0,0,0,0,0,0,0,0,0,0,0
Aeromonas dhakensis,0,3,0,1,0,0,0,0,1,1,0
Alkalimarinus alittae,0,2,0,0,0,0,0,0,0,0,0
Mannheimia haemolytica,0,1,0,0,0,0,0,0,0,0,0
Mannheimia varigena,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter actinomycetemcomitans,0,0,0,0,0,0,0,0,0,0,0
Avibacterium paragallinarum,0,1,0,0,1,0,0,0,0,0,0
Marinimicrobium sp. C6131,0,1,0,0,0,0,0,0,0,0,0
Immundisolibacter cernigliae,0,1,0,0,0,0,0,0,1,0,0
Ignatzschineria rhizosphaerae,0,1,0,0,1,0,0,0,0,0,0
Stratiformator vulcanicus,0,1,0,0,2,0,1,0,0,0,0
Blastopirellula sp. J2-11,0,1,1,1,1,0,0,0,1,0,1
Rubripirellula lacrimiformis,0,1,0,0,0,0,0,0,0,0,1
Bythopirellula goksoeyrii,0,1,0,0,1,1,0,0,2,0,2
Lacipirellula parvula,0,1,1,0,0,0,0,0,1,0,0
Lacunisphaera limnophila,0,1,1,1,0,0,0,0,0,0,0
Edaphobacter sp. 12200R-103,0,2,0,0,0,0,1,0,1,1,1
Edaphobacter sp. 4G125,0,1,0,0,0,0,0,0,0,0,0
Granulicella sp. WH15,0,1,0,0,0,0,0,0,0,0,1
Granulicella tundricola,0,0,0,0,0,0,0,0,0,0,0
Geothrix sp. PMB-07,0,1,0,0,0,0,0,1,0,0,0
Chitinophaga oryzae,0,1,0,0,0,1,0,1,2,1,1
Filimonas lacunae,0,1,0,1,3,0,0,1,2,0,0
Longitalea sp. SCSIO 12813,0,1,0,1,0,0,0,0,0,0,0
Paramuribaculum intestinale,0,1,0,0,0,0,0,0,0,0,0
Prevotella denticola,0,1,0,0,0,0,0,0,0,0,0
Prevotella melaninogenica,0,1,0,1,1,0,0,0,0,0,0
Salinivirga cyanobacteriivorans,0,2,0,1,2,2,0,0,2,2,2
Porphyromonas gingivalis,0,1,0,0,1,0,0,0,0,0,0
Maribellus comscasis,0,1,0,0,0,0,0,0,0,1,0
Flavobacterium sp. 140616W15,0,1,0,0,0,0,0,0,0,1,0
Robiginitalea biformata,0,0,0,0,0,0,0,0,0,0,0
Olleya sp. Bg11-27,0,1,0,0,1,0,0,1,3,0,0
Amniculibacterium sp. G2-70,0,1,0,0,0,0,0,0,0,0,0
Bergeyella cardium,0,2,0,0,0,0,0,0,3,0,1
Riemerella anatipestifer,0,1,1,0,2,0,1,0,1,1,0
Blattabacterium cuenoti,0,1,0,0,0,0,0,0,0,0,0
Ichthyobacterium seriolicida,0,1,0,0,0,0,0,0,1,0,0
Paracrocinitomix mangrovi,0,1,0,0,0,0,0,0,0,0,0
Emticicia sp. 21SJ11W-3,0,2,1,0,1,2,0,0,1,0,1
Dyadobacter chenhuakuii,0,1,0,0,0,0,0,0,0,0,0
Fibrella sp. ES10-3-2-2,0,1,0,0,0,0,0,0,0,0,0
Pontibacter sp. G13,0,2,0,1,0,0,1,1,0,0,0
Persicobacter sp. JZB09,0,1,0,0,0,0,0,0,0,0,0
Rhodothermus marinus,0,1,0,0,0,0,0,0,0,0,0
Rhodocaloribacter litoris,0,1,0,0,0,0,0,0,0,0,0
Gemmatimonas groenlandica,0,1,0,4,2,4,0,2,2,1,1
Citrifermentans bremense,0,1,0,0,0,0,0,0,0,0,0
Geoalkalibacter subterraneus,0,3,0,0,1,0,0,0,2,0,0
Pelobacter propionicus,0,0,0,0,0,0,0,0,0,0,0
Syntrophobacter fumaroxidans,0,0,0,0,0,0,0,0,0,0,0
Desulfobacula toluolica,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio sp. G11,0,1,0,0,0,0,0,0,0,0,0
Desulfarculus baarsii,0,0,0,0,0,0,0,0,0,0,0
Corallococcus sp. EGB,0,1,0,0,2,0,0,0,0,0,0
Vulgatibacter incomptus,0,1,0,0,2,0,0,1,0,1,0
Leptospirillum ferrooxidans,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nanosynbacter sp. HMT-352,0,1,0,0,0,1,0,0,0,0,0
Treponema phagedenis,0,1,0,0,0,0,0,0,0,0,0
Candidatus Sulfuricurvum sp. RIFRC-1,0,1,0,0,0,0,0,0,0,0,0
Leptotrichia hongkongensis,0,1,0,0,0,0,0,0,0,0,0
Homo sapiens,0,1,0,0,0,0,0,0,0,0,0
Bacillus gobiensis,0,0,1,0,0,0,0,0,0,0,0
Priestia flexa,0,0,1,0,1,1,0,0,1,0,0
Priestia koreensis,0,0,1,0,0,0,0,0,0,0,0
Mesobacillus jeotgali,0,0,2,1,1,0,0,0,1,2,0
Paraliobacillus zengyii,0,0,2,0,0,0,0,0,0,0,0
Evansella cellulosilytica,0,0,0,0,0,0,0,0,0,0,0
Siminovitchia fortis,0,0,1,0,0,0,0,0,0,0,0
Terribacillus sp. DMT04,0,0,1,0,0,0,0,0,0,0,0
Paenibacillus xylanexedens,0,0,1,0,0,0,0,0,0,1,0
Paenibacillus peoriae,0,0,1,0,0,0,0,0,0,0,0
Planococcus faecalis,0,0,1,0,1,1,0,2,0,0,0
Staphylococcus haemolyticus,0,0,1,0,0,0,0,0,1,0,0
Staphylococcus capitis,0,0,1,0,0,0,0,0,1,0,0
Sporolactobacillus terrae,0,0,1,0,0,0,0,1,1,0,0
Lactococcus cremoris,0,0,1,0,0,0,0,0,0,0,0
Clostridium sp. MF28,0,0,1,0,0,76,31,40,0,11,25
Clostridium chauvoei,0,0,1,0,0,5,4,5,0,0,6
Crassaminicella thermophila,0,0,1,2,1,1,0,0,0,0,1
Paraclostridium bifermentans,0,0,1,0,0,0,0,0,0,0,0
Romboutsia hominis,0,0,2,0,0,0,0,0,0,1,0
Peptoclostridium acidaminophilum,0,0,0,0,0,0,0,0,0,0,0
Petroclostridium sp. X23,0,0,1,0,0,0,0,0,0,0,0
Desulfitobacterium hafniense,0,0,0,0,0,0,0,0,1,0,0
Cellulosilyticum lentocellum,0,0,0,0,0,0,0,0,0,0,0
endosymbiont 'TC1' of Trimyema compressum,0,0,1,0,0,0,0,0,0,0,0
Glutamicibacter sp. ZJUTW,0,0,1,0,0,0,0,0,0,0,0
Ornithinimicrobium sp. HY1793,0,0,1,0,0,0,0,0,2,0,0
Gephyromycinifex aptenodytis,0,0,1,0,0,0,0,0,0,0,0
Mycobacteroides abscessus,0,0,0,0,0,0,0,0,0,0,0
Nocardia sp. PE-7,0,0,1,0,0,0,0,0,0,0,0
Corynebacterium pseudodiphtheriticum,0,0,1,0,0,0,0,0,0,0,0
Streptomyces lunaelactis,0,0,1,0,0,0,0,0,0,0,0
Streptomyces scabiei,0,0,0,0,0,0,0,0,0,0,0
Streptomyces sp. JCM 35825,0,0,1,0,0,0,0,0,0,0,0
Nocardiopsis gilva,0,0,0,0,0,0,0,0,0,0,0
Allocoleopsis franciscana,0,0,0,0,0,0,0,0,0,0,0
Crinalium epipsammum,0,0,0,0,0,0,0,0,0,0,0
