,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode12
Syntrophomonas,0,0,0,0,0,0,0,0,0,0,0
Syntrophothermus,0,0,0,0,0,0,0,0,0,0,0
Candidatus Contubernalis,0,0,0,0,0,0,0,0,0,0,0
Thermoanaerobacter,1,0,0,0,0,0,0,0,0,0,0
Mahella,0,0,0,0,0,0,0,0,0,0,0
Halanaerobium,1,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor,0,1,0,0,0,1,0,0,2,0,1
Pelosinus,2,1,0,0,0,1,0,0,1,0,2
Selenomonas,0,0,0,0,0,0,0,1,0,0,1
Megamonas,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus,0,0,0,0,0,0,0,0,0,0,0
Sedimentibacter,0,0,0,0,0,0,0,0,0,0,0
Turicibacter,0,1,0,0,0,0,0,1,0,0,0
Mycolicibacterium,0,0,0,0,0,0,0,1,1,0,1
Mycobacterium,0,0,0,0,1,0,0,0,0,0,0
Mycobacteroides,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium,1,0,0,0,2,0,0,1,2,0,1
Rhodococcus,0,0,0,0,0,0,0,0,1,0,0
Gordonia,0,0,0,0,0,0,0,0,0,0,0
Arthrobacter,1,0,0,0,0,0,0,0,1,0,1
Pseudarthrobacter,0,0,0,0,0,0,0,0,0,0,0
Glutamicibacter,0,0,0,0,0,0,0,1,0,0,0
Miniimonas,0,0,0,0,0,0,0,0,0,0,0
Microcella,1,0,0,0,1,0,0,0,0,0,0
Microbacterium,0,0,0,0,0,0,0,0,0,0,0
Janibacter,0,0,0,0,0,0,0,1,0,0,0
Phycicoccus,0,0,0,0,0,0,0,0,0,0,0
Streptomyces,8,13,3,5,7,10,2,6,18,0,6
Peterkaempfera,0,0,0,0,0,0,0,0,0,0,0
Kitasatospora,0,2,0,0,0,1,0,0,0,0,0
Nocardioides,0,0,0,0,0,1,1,0,0,0,0
Aeromicrobium,1,0,0,0,0,1,0,0,0,0,0
Microlunatus,0,0,0,0,0,0,0,0,0,0,0
Actinopolymorpha,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,0,1,0,0,0,0,0,0,0,0,0
Actinoplanes,0,0,0,1,0,1,0,1,0,0,0
Micromonospora,0,0,0,0,0,0,0,1,1,0,0
Dactylosporangium,1,1,0,0,0,0,0,0,1,0,0
Phytohabitans,0,0,0,0,0,0,0,0,0,0,0
Pseudonocardia,0,0,0,0,0,0,0,1,0,0,0
Lentzea,0,0,0,0,0,0,0,0,0,0,0
Thermobispora,0,0,0,0,0,0,0,0,0,0,0
Thermobifida,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,1,0,1,0,0,0,0,0,2,0,0
Actinotignum,0,0,0,0,0,0,0,0,0,0,0
Stackebrandtia,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nanopelagicus,0,0,0,0,0,0,0,0,0,0,0
Blastococcus,0,0,0,0,0,0,0,0,0,0,0
Jiangella,1,0,0,0,0,0,0,0,0,0,0
Frankia,0,1,1,0,0,0,0,0,3,0,0
Conexibacter,0,3,0,2,0,1,0,0,3,0,0
Miltoncostaea,6,3,1,4,3,0,0,1,1,0,2
Iamia,0,0,0,0,0,0,0,0,0,0,0
Actinomarinicola,0,0,0,0,0,0,0,0,0,0,0
Ilumatobacter,0,0,0,0,0,0,0,0,0,0,0
Rubrobacter,0,0,0,0,0,0,0,0,0,0,0
Eggerthella,1,0,0,0,0,0,0,0,0,0,0
Denitrobacterium,0,0,0,0,0,0,0,0,0,0,0
Xiamenia,0,0,0,0,0,0,0,0,0,0,0
Coriobacterium,0,0,0,0,0,0,0,0,0,0,0
Leptolyngbya,0,0,0,0,0,0,0,0,0,0,0
Planktothrix,0,0,0,0,0,0,0,0,1,0,0
Caldilinea,0,0,0,0,0,0,0,0,0,0,0
Roseiflexus,2,0,0,0,0,0,0,0,1,0,0
Chloroflexus,1,1,1,5,1,2,2,0,1,1,1
Dehalococcoides,4,0,1,1,0,0,0,0,0,0,0
Pelolinea,0,0,0,0,0,0,0,0,0,0,0
Brevefilum,0,0,0,0,0,0,0,0,0,0,0
Ktedonosporobacter,0,0,0,0,0,0,0,0,0,0,0
Mycoplasma,0,0,0,0,0,0,0,0,1,0,0
Mycoplasmopsis,0,0,0,0,0,0,0,0,1,0,0
Mesomycoplasma,0,0,0,0,0,0,0,1,0,0,0
Metamycoplasma,1,1,1,0,1,0,0,0,0,0,1
Capsulimonas,0,0,0,0,0,0,0,0,0,0,0
Chthonomonas,0,0,0,0,0,0,0,0,0,0,0
Allomeiothermus,0,0,0,0,0,0,0,0,0,0,0
Pseudolabrys,5,5,2,4,3,5,2,3,10,4,2
Labrys,0,0,0,0,0,0,0,0,0,0,0
Bradyrhizobium,55,72,27,48,65,38,31,39,91,18,26
Afipia,13,20,3,7,13,12,6,7,15,3,11
Nitrobacter,10,7,6,7,6,11,5,3,15,2,3
Variibacter,0,0,0,0,0,0,0,0,0,0,0
Rhodopseudomonas,0,0,0,0,0,0,0,0,0,0,1
Tardiphaga,2,3,0,0,2,2,1,1,2,2,1
Methyloceanibacter,39,59,28,23,51,37,16,34,69,7,33
Rhodomicrobium,15,15,4,9,12,11,4,8,27,6,7
Rhodoplanes,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobium,9,17,10,9,10,5,5,11,15,3,10
Methyloligella,0,0,0,0,0,0,0,0,0,0,0
Filomicrobium,0,0,0,0,0,0,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0
Nordella,0,0,0,0,0,0,0,0,0,0,0
Candidatus Hodgkinia,0,0,0,0,0,0,0,0,0,0,0
Pseudorhodoplanes,0,0,0,0,0,0,0,0,0,0,0
Terrihabitans,0,0,0,0,0,0,0,0,0,0,0
Rhizobium,1,1,0,1,1,0,0,0,1,0,0
Neorhizobium,0,0,0,0,0,0,0,0,0,0,0
Liberibacter,2,4,2,2,4,5,3,1,6,0,0
Sinorhizobium,0,0,0,0,0,0,0,0,0,0,0
Microvirga,12,10,4,3,5,4,4,3,14,2,6
Methylobacterium,4,2,0,1,3,2,1,1,6,0,2
Methylocella,1,1,0,0,0,0,0,0,0,0,0
Methylocapsa,0,0,0,0,0,0,0,0,0,0,0
Methylovirgula,3,0,2,1,3,0,0,0,5,0,0
Beijerinckia,0,0,0,0,0,0,0,0,0,0,0
Mesorhizobium,10,11,5,7,15,3,6,7,14,3,4
Aquibium,0,0,0,0,0,0,0,0,0,0,0
Phyllobacterium,1,0,0,0,1,1,0,0,0,0,0
Chelativorans,0,0,0,0,0,0,0,0,0,0,0
Methylocystis,11,9,2,5,4,5,5,6,7,4,4
Methylosinus,0,0,0,0,0,0,0,0,0,0,0
Brucella,0,0,0,0,0,1,0,0,0,0,0
Devosia,2,0,1,0,0,1,0,0,0,0,0
Roseibium,0,0,0,0,0,0,0,0,0,0,0
Stappia,0,0,0,0,0,0,0,0,0,0,0
Pannonibacter,0,0,0,0,0,0,0,0,0,0,0
Aureimonas,0,0,0,0,0,0,0,0,0,0,0
Chelatococcus,2,2,0,1,1,1,1,0,0,1,2
Blastochloris,0,0,0,0,0,0,0,0,2,1,0
Bartonella,0,0,0,0,0,0,0,0,0,1,0
Bosea,2,2,0,0,3,6,2,0,2,0,1
Pleomorphomonas,0,0,0,0,0,0,0,0,0,0,0
Acuticoccus,0,0,0,0,0,0,0,0,0,0,0
Acidisoma,0,0,0,0,0,0,0,0,0,0,0
Acidibrevibacterium,0,0,0,0,0,0,0,0,0,0,0
Roseomonas,4,1,2,4,9,3,1,3,8,0,4
Gluconobacter,0,0,0,0,0,0,0,0,0,0,0
Aristophania,0,0,0,0,0,0,0,0,0,0,0
Acetobacter,2,2,1,2,0,3,1,2,3,0,2
Rhodovastum,0,0,0,0,0,0,0,0,0,0,0
Granulibacter,0,0,0,0,0,0,0,0,0,0,0
Komagataeibacter,0,0,0,1,0,0,0,0,0,0,0
Novacetimonas,0,0,0,0,0,0,0,0,0,0,0
Neokomagataea,0,0,0,0,0,0,0,0,0,0,0
Gluconacetobacter,0,0,0,0,0,0,0,0,0,0,0
Oecophyllibacter,0,0,0,0,0,0,0,0,0,0,0
Acidiphilium,1,0,0,0,1,1,0,1,1,0,1
Hypericibacter,4,7,1,9,9,5,2,7,10,2,6
Defluviicoccus,0,0,0,0,0,0,0,0,0,0,0
Ferrovibrio,0,0,0,0,0,0,0,0,0,0,0
Rhodospirillum,0,0,0,0,0,0,0,0,0,0,0
Candidatus Endolissoclinum,0,0,0,0,0,0,0,0,0,0,0
Magnetospirillum,1,4,0,1,4,0,0,1,5,0,1
Skermanella,9,8,3,4,7,6,0,5,13,2,3
Azospirillum,1,0,0,1,1,0,0,0,0,0,0
Stella,0,0,0,0,0,0,0,0,0,0,0
Tistrella,0,0,0,0,0,0,0,0,0,0,0
Sphingomonas,1,0,0,1,1,0,0,0,0,0,1
Parasphingopyxis,1,0,0,0,0,0,0,0,0,0,0
Sandaracinobacteroides,0,0,0,0,0,0,0,0,0,0,0
Erythrobacter,0,0,0,0,0,0,0,0,0,0,0
Wolbachia,0,0,0,0,0,0,0,0,1,0,0
Anaplasma,1,1,0,1,1,0,0,0,0,0,0
Candidatus Midichloria,0,0,0,0,0,0,0,0,0,0,0
Rickettsia,0,0,0,0,1,0,0,0,1,0,0
Candidatus Cytomitobacter,0,1,0,0,1,0,0,0,3,0,0
Candidatus Nesciobacter,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,0,0,0,0,0,0,0,0,0,0,0
Frigidibacter,0,0,0,0,0,0,0,0,0,0,0
Thioclava,0,0,0,0,0,0,0,0,0,0,0
Parasedimentitalea,0,0,0,0,0,0,0,0,0,0,0
Tabrizicola,0,0,0,0,0,0,0,0,0,0,0
Phenylobacterium,0,1,0,0,0,1,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0,1,1
Hyphomonas,1,0,0,0,0,0,0,0,0,0,0
Candidatus Pelagibacter,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus,17,22,7,6,23,15,4,10,23,11,9
Burkholderia,4,3,0,0,3,4,1,0,5,1,0
Paraburkholderia,6,9,1,1,2,2,4,6,14,2,6
Polynucleobacter,1,6,1,2,0,2,0,3,2,3,2
Ralstonia,1,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0
Pandoraea,1,1,0,1,0,0,0,0,1,0,0
Mycoavidus,0,0,0,1,1,0,0,0,0,0,0
Caballeronia,1,1,0,1,1,5,2,0,9,2,0
Comamonas,2,1,1,0,1,0,1,2,3,1,0
Variovorax,2,1,0,0,1,3,0,2,1,0,1
Kinneretia,0,0,0,0,0,0,0,0,0,0,0
Rhodoferax,0,1,0,1,1,1,2,0,0,0,0
Polaromonas,3,5,0,0,0,0,1,0,1,0,1
Ramlibacter,0,0,0,0,0,0,0,0,0,0,0
Alicycliphilus,0,0,0,0,0,0,0,0,0,0,0
Simplicispira,0,0,0,0,0,0,0,0,0,0,0
Candidatus Symbiobacter,0,0,0,0,0,0,0,0,0,0,0
Ottowia,0,2,0,0,1,3,0,1,3,1,0
Diaphorobacter,1,0,0,0,0,0,0,0,0,0,0
Verminephrobacter,0,0,0,0,0,0,0,0,0,0,0
Basilea,0,0,0,0,0,0,0,0,0,0,0
Bordetella,0,0,2,0,1,1,0,0,1,0,2
Achromobacter,1,2,0,0,1,0,0,1,0,0,0
Pigmentiphaga,0,0,0,0,0,0,0,0,0,1,0
Orrella,0,0,0,0,0,0,0,0,0,0,0
Alcaligenes,0,0,0,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,1,1,0,0,2,0,0
Oxalobacter,0,0,0,0,0,1,0,0,0,0,0
Massilia,1,1,0,0,2,4,3,5,14,2,4
Rugamonas,0,0,0,0,0,0,0,0,0,0,0
Janthinobacterium,0,0,0,0,0,0,1,1,3,0,0
Collimonas,0,0,0,0,0,0,1,1,0,0,1
Thiomonas,2,8,0,2,3,5,2,4,13,0,2
Tepidimonas,0,0,0,0,0,0,0,0,0,0,0
Rhizobacter,0,0,0,0,0,0,0,0,0,0,0
Sutterella,0,0,0,1,1,0,0,0,0,0,1
Piscinibacter,0,0,0,0,0,0,0,0,0,0,0
Ideonella,0,0,0,0,0,0,0,0,0,0,0
Methylibium,1,0,0,1,0,1,0,0,1,0,1
Sideroxydans,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nitrotoga,3,1,0,0,3,4,0,0,2,1,0
Ferrigenium,0,0,0,0,0,0,0,0,0,0,0
Gallionella,0,0,0,0,0,0,0,0,0,0,0
Sideroxyarcus,0,0,0,0,0,0,0,0,0,0,0
Nitrosomonas,4,6,1,4,4,2,0,3,9,3,1
Nitrosospira,0,0,0,1,0,0,0,0,0,0,1
Usitatibacter,1,3,0,0,2,0,1,0,0,0,0
Denitratisoma,0,0,0,0,0,0,0,0,0,0,0
Sulfuritalea,0,0,0,0,0,0,0,0,0,0,0
Sulfuriferula,1,1,0,0,0,0,0,0,0,0,1
Sulfurimicrobium,0,0,0,0,0,0,0,0,0,0,0
Thiobacillus,0,0,0,0,0,0,0,0,0,0,0
Sulfuritortus,0,0,0,0,0,0,0,0,0,0,0
Methylobacillus,0,0,0,0,0,0,0,0,0,0,0
Methyloradius,0,0,0,0,0,0,0,0,0,0,0
Niveibacterium,0,0,0,0,0,0,0,0,0,0,0
Azospira,0,0,0,0,0,1,0,0,1,0,0
Pseudazoarcus,0,0,0,0,0,0,0,0,0,0,0
Fluviibacter,0,0,0,0,0,0,0,0,0,0,0
Neisseria,0,0,1,1,0,1,1,0,1,0,0
Alysiella,0,0,0,0,0,0,0,0,0,0,0
Iodobacter,0,0,0,0,0,0,0,0,0,0,0
Chitinibacter,0,0,0,0,0,1,0,0,0,0,0
Chitinimonas,0,0,1,1,0,0,0,1,0,0,0
Candidatus Profftella,0,0,0,0,0,0,0,0,0,0,0
Escherichia,0,0,0,0,0,0,0,0,0,0,0
Klebsiella,0,1,1,1,1,0,0,0,0,0,0
Enterobacter,2,0,0,0,0,0,0,0,0,0,1
Salmonella,0,0,0,0,0,0,0,0,0,0,0
Citrobacter,0,0,0,0,0,0,0,0,0,0,0
Candidatus Moranella,0,0,0,0,0,0,0,0,0,0,0
Arsenophonus,2,0,1,0,0,2,0,0,0,0,0
Morganella,0,0,0,0,0,0,0,0,0,0,0
Proteus,0,0,0,0,0,0,0,0,0,0,0
Serratia,0,0,0,0,0,0,1,2,0,1,0
Yersinia,0,0,0,0,0,0,0,0,0,0,0
Brenneria,0,0,0,0,0,0,0,0,0,0,0
Pectobacterium,0,0,0,0,0,0,0,0,0,0,0
Erwinia,0,0,0,0,0,0,0,0,0,0,0
Stenotrophomonas,0,0,0,0,1,0,0,0,1,0,0
Pseudolysobacter,0,0,0,0,0,0,0,0,0,0,0
Lysobacter,0,2,1,2,0,3,0,1,3,0,3
Xanthomonas,0,0,0,0,0,0,0,0,0,0,0
Xylella,0,0,0,0,0,0,0,0,0,0,0
Luteimonas,0,0,0,0,1,0,0,0,1,0,0
Dokdonella,0,0,0,0,0,0,0,0,0,0,0
Tahibacter,0,0,0,0,0,0,0,0,0,0,0
Steroidobacter,0,0,0,0,0,0,0,0,0,0,0
Sinimarinibacterium,0,0,0,0,0,0,0,0,0,0,0
Flagellatimonas,0,0,0,0,0,0,0,0,0,0,0
Vibrio,1,1,1,1,1,2,0,1,1,0,0
Photobacterium,0,0,0,0,0,0,2,2,2,0,0
Candidatus Nitrosacidococcus,2,1,1,2,1,2,0,1,0,0,1
Candidatus Nitrosoglobus,0,0,0,0,0,0,0,0,0,0,0
Caldichromatium,0,0,0,0,0,0,0,0,0,0,0
Halorhodospira,0,0,0,0,0,0,0,0,0,0,0
Woeseia,0,0,0,0,0,0,0,0,0,0,0
Guyparkeria,0,0,0,0,0,0,0,0,0,0,0
Acidiferrobacter,6,2,0,0,1,2,2,0,6,1,1
Sulfuricaulis,0,0,0,0,0,0,0,0,0,0,0
Rickettsiella,1,0,0,1,0,0,0,0,0,0,0
Aquicella,2,1,3,0,0,2,0,0,2,1,0
Legionella,0,3,1,0,1,0,0,1,1,0,1
Halomonas,2,1,2,3,0,0,0,1,4,0,0
Marinobacterium,1,0,0,0,0,0,0,0,1,0,0
Acinetobacter,0,2,2,2,2,0,0,1,1,0,3
Pseudoalteromonas,0,0,1,0,0,0,0,0,0,0,0
Alteromonas,0,0,0,0,0,0,0,0,0,0,0
Shewanella,0,0,0,0,0,0,0,0,0,0,0
Pseudomonas,0,2,1,0,5,2,0,1,6,3,2
Methylomonas,2,0,0,0,0,1,0,0,0,0,0
Methylomarinovum,0,0,0,0,0,0,0,0,0,0,0
Aeromonas,1,0,0,0,1,0,0,0,0,0,0
Pasteurella,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0,0,0
Mergibacter,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,0,0,0,0
Candidatus Paraluminiphilus,0,0,0,0,0,0,0,0,0,0,0
Microbulbifer,1,0,0,1,0,0,0,0,0,0,0
Wohlfahrtiimonas,0,0,0,0,0,0,0,0,0,0,0
Francisella,0,0,1,0,0,0,0,0,0,0,0
Candidatus Vesicomyosocius,0,0,0,0,1,0,0,0,0,0,0
Acidithiobacillus,12,9,4,4,20,15,4,14,31,8,4
Telmatocola,0,0,0,0,0,0,0,0,0,0,0
Limnoglobus,0,0,0,0,0,0,0,0,0,0,0
Gemmata,9,14,0,3,7,6,6,7,11,7,5
Urbifossiella,0,0,0,0,0,0,0,0,0,0,0
Tuwongella,0,0,0,0,0,0,0,0,0,0,0
Frigoriglobus,0,0,0,0,0,0,0,0,0,0,0
Aquisphaera,0,0,0,0,0,0,0,0,0,0,0
Singulisphaera,0,0,0,0,0,0,0,0,0,0,0
Paludisphaera,0,0,0,0,0,0,0,0,0,0,0
Tautonia,0,0,0,0,0,0,0,0,0,0,0
Isosphaera,0,0,0,0,0,0,0,0,0,0,0
Planctomyces,0,0,0,0,0,0,0,0,0,0,0
Gimesia,1,1,0,0,0,1,0,1,3,0,0
Fuerstiella,0,0,0,0,0,0,0,0,0,0,0
Alienimonas,0,0,0,0,0,0,0,0,0,0,0
Caulifigura,0,0,0,0,0,0,0,0,0,0,0
Thalassoglobus,0,0,0,0,0,0,0,0,0,0,0
Calycomorphotria,0,0,0,0,0,0,0,0,0,0,0
Symmachiella,0,0,0,0,0,0,0,0,0,0,0
Pirellula,0,0,1,0,0,0,0,0,0,0,0
Anatilimnocola,0,0,0,0,0,0,0,0,0,0,0
Bremerella,2,0,0,0,0,0,0,1,1,0,1
Rosistilla,0,2,0,0,3,0,0,0,1,0,2
Mariniblastus,0,0,0,0,0,0,0,0,0,0,0
Aureliella,0,0,0,0,0,0,0,0,0,0,0
Aeoliella,0,0,0,0,0,0,0,0,0,0,0
Adhaeretor,0,0,0,0,0,0,0,0,0,0,0
Thermogutta,0,0,0,0,0,0,0,0,0,0,0
Humisphaera,0,0,0,0,0,0,0,0,0,0,0
Mucisphaera,0,0,0,0,0,0,0,0,0,0,0
Phycisphaera,0,0,0,0,0,0,0,0,0,0,0
Poriferisphaera,0,0,0,0,0,0,0,0,0,0,0
Limihaloglobus,0,0,0,0,0,0,0,0,0,0,0
Sedimentisphaera,1,0,1,0,0,0,0,0,0,0,0
Anaerohalosphaera,0,0,0,0,0,0,0,0,0,0,0
Candidatus Kuenenia,0,0,0,0,0,0,0,0,0,0,0
Candidatus Uabimicrobium,0,0,0,0,0,0,0,0,0,0,0
Fontisphaera,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobium,1,0,1,0,0,0,0,0,1,0,1
Luteolibacter,2,0,1,0,0,1,0,0,2,0,2
Roseimicrobium,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,2,1,1,2,0,1,0,0,2,0,2
Ereboglobus,0,0,0,0,0,0,0,0,0,0,0
Opitutus,0,0,0,0,0,0,0,0,1,0,0
Horticoccus,0,0,0,0,0,0,0,0,0,0,0
Nibricoccus,0,0,0,0,0,0,0,0,0,0,0
Coraliomargarita,0,0,0,0,0,0,0,0,0,0,0
Candidatus Xiphinematobacter,0,0,0,0,0,0,0,0,0,0,0
Methylacidimicrobium,0,0,0,0,0,0,0,0,0,0,0
Methylacidiphilum,1,0,0,0,0,0,0,0,0,1,0
Candidatus Velamenicoccus,0,0,0,0,0,0,0,0,0,0,0
Candidatus Koribacter,0,0,0,0,0,0,0,0,0,0,0
Occallatibacter,0,0,0,0,0,0,0,0,0,0,0
Acidisarcina,0,0,0,0,0,0,0,0,0,0,0
Edaphobacter,1,1,0,0,2,1,1,1,3,0,1
Terriglobus,0,2,2,0,0,0,0,0,1,1,0
Acidobacterium,0,0,0,0,0,0,0,0,0,0,0
Granulicella,0,1,0,0,1,0,0,0,1,0,1
Paludibaculum,0,0,0,0,0,0,0,0,0,0,0
Luteitalea,111,117,43,116,91,87,55,63,233,44,56
Geothrix,7,7,0,5,8,7,1,2,8,2,3
Sulfidibacter,0,0,0,0,0,0,0,0,0,0,0
Chloracidobacterium,7,5,2,5,6,3,3,2,14,2,0
Niabella,0,0,0,0,0,0,0,0,0,0,0
Ferruginibacter,0,0,0,1,0,0,0,0,2,0,0
Chitinophaga,4,10,1,3,9,2,1,3,20,4,5
Paraflavitalea,0,0,0,0,0,0,0,0,0,0,0
Thermoflavifilum,0,0,0,0,0,0,0,0,0,0,0
Flavisolibacter,1,2,0,0,1,1,0,2,4,0,1
Niastella,0,0,0,0,0,0,0,0,0,0,0
Panacibacter,0,0,0,0,0,0,0,0,0,0,0
Sediminibacterium,0,0,0,0,0,0,0,0,0,0,0
Pseudobacter,0,0,0,0,0,0,0,0,0,0,0
Flavihumibacter,0,2,1,0,2,3,1,1,3,0,1
Lacibacter,0,0,0,0,0,0,0,0,0,0,0
Arachidicoccus,1,0,0,1,1,0,2,2,2,0,0
Muribaculum,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides,2,2,0,1,2,3,0,0,4,0,0
Bacteroides,1,0,0,0,1,0,0,0,0,0,0
Alistipes,2,1,0,0,1,0,0,0,0,1,0
Butyricimonas,2,3,0,0,2,0,0,0,1,1,0
Prevotella,1,0,0,0,0,0,0,1,2,0,0
Paludibacter,0,0,0,0,0,0,0,0,0,0,0
Flavobacterium,2,0,0,1,0,0,0,0,3,1,2
Capnocytophaga,1,1,0,0,1,0,0,0,4,2,0
